bkg,Sup_normal,Sup_TMath
0.212010,2.590000,2.590000
0.213010,2.590000,2.590000
0.214010,2.600000,2.600000
0.215010,2.600000,2.600000
0.216010,2.600000,2.600000
0.217010,2.600000,2.600000
0.218010,2.600000,2.600000
0.219010,2.600000,2.600000
0.220010,2.600000,2.600000
0.221010,2.600000,2.600000
0.222010,2.600000,2.600000
0.223010,2.610000,2.610000
0.224010,2.610000,2.610000
0.225010,2.610000,2.610000
0.226010,2.610000,2.610000
0.227010,2.610000,2.610000
0.228010,2.610000,2.610000
0.229010,2.610000,2.610000
0.230010,2.610000,2.610000
0.231010,2.610000,2.610000
0.232010,2.620000,2.620000
0.233010,2.620000,2.620000
0.234010,2.620000,2.620000
0.235010,2.620000,2.620000
0.236010,2.620000,2.620000
0.237010,2.620000,2.620000
0.238010,2.620000,2.620000
0.239010,2.620000,2.620000
0.240010,2.620000,2.620000
0.241010,2.630000,2.630000
0.242010,2.630000,2.630000
0.243010,2.630000,2.630000
0.244010,2.630000,2.630000
0.245010,2.630000,2.630000
0.246010,2.630000,2.630000
0.247010,2.630000,2.630000
0.248010,2.630000,2.630000
0.249010,2.630000,2.630000
0.250010,2.640000,2.640000
0.251010,2.640000,2.640000
0.252010,2.640000,2.640000
0.253010,2.640000,2.640000
0.254010,2.640000,2.640000
0.255010,2.640000,2.640000
0.256010,2.640000,2.640000
0.257010,2.640000,2.640000
0.258010,2.640000,2.640000
0.259010,2.650000,2.650000
0.260010,2.650000,2.650000
0.261010,2.650000,2.650000
0.262010,2.650000,2.650000
0.263010,2.650000,2.650000
0.264010,2.650000,2.650000
0.265010,2.650000,2.650000
0.266010,2.650000,2.650000
0.267010,2.650000,2.650000
0.268010,2.660000,2.660000
0.269010,2.660000,2.660000
0.270010,2.660000,2.660000
0.271010,2.660000,2.660000
0.272010,2.660000,2.660000
0.273010,2.660000,2.660000
0.274010,2.660000,2.660000
0.275010,2.660000,2.660000
0.276010,2.660000,2.660000
0.277010,2.670000,2.670000
0.278010,2.670000,2.670000
0.279010,2.670000,2.670000
0.280010,2.670000,2.670000
0.281010,2.670000,2.670000
0.282010,2.670000,2.670000
0.283010,2.670000,2.670000
0.284010,2.670000,2.670000
0.285010,2.670000,2.670000
0.286010,2.670000,2.670000
0.287010,2.680000,2.680000
0.288010,2.680000,2.680000
0.289010,2.680000,2.680000
0.290010,2.680000,2.680000
0.291010,2.680000,2.680000
0.292010,2.680000,2.680000
0.293010,2.680000,2.680000
0.294010,2.680000,2.680000
0.295010,2.680000,2.680000
0.296010,2.690000,2.690000
0.297010,2.690000,2.690000
0.298010,2.690000,2.690000
0.299010,2.690000,2.690000
0.300010,2.690000,2.690000
0.301010,2.690000,2.690000
0.302010,2.690000,2.690000
0.303010,2.690000,2.690000
0.304010,2.690000,2.690000
0.305010,2.690000,2.690000
0.306010,2.700000,2.700000
0.307010,2.700000,2.700000
0.308010,2.700000,2.700000
0.309010,2.700000,2.700000
0.310010,2.700000,2.700000
0.311010,2.700000,2.700000
0.312010,2.700000,2.700000
0.313010,2.700000,2.700000
0.314010,2.700000,2.700000
0.315010,2.710000,2.710000
0.316010,2.710000,2.710000
0.317010,2.710000,2.710000
0.318010,2.710000,2.710000
0.319010,2.710000,2.710000
0.320010,2.710000,2.710000
0.321010,2.710000,2.710000
0.322010,2.710000,2.710000
0.323010,2.710000,2.710000
0.324010,2.710000,2.710000
0.325010,2.720000,2.720000
0.326010,2.720000,2.720000
0.327010,2.720000,2.720000
0.328010,2.720000,2.720000
0.329010,2.720000,2.720000
0.330010,2.720000,2.720000
0.331010,2.720000,2.720000
0.332010,2.720000,2.720000
0.333010,2.720000,2.720000
0.334010,2.720000,2.720000
0.335010,2.730000,2.730000
0.336010,2.730000,2.730000
0.337010,2.730000,2.730000
0.338010,2.730000,2.730000
0.339010,2.730000,2.730000
0.340010,2.730000,2.730000
0.341010,2.730000,2.730000
0.342010,2.730000,2.730000
0.343010,2.730000,2.730000
0.344010,2.730000,2.730000
0.345010,2.740000,2.740000
0.346010,2.740000,2.740000
0.347010,2.740000,2.740000
0.348010,2.740000,2.740000
0.349010,2.740000,2.740000
0.350010,2.740000,2.740000
0.351010,2.740000,2.740000
0.352010,2.740000,2.740000
0.353010,2.740000,2.740000
0.354010,2.740000,2.740000
0.355010,2.750000,2.750000
0.356010,2.750000,2.750000
0.357010,2.750000,2.750000
0.358010,2.750000,2.750000
0.359010,2.750000,2.750000
0.360010,2.750000,2.750000
0.361010,2.750000,2.750000
0.362010,2.750000,2.750000
0.363010,2.750000,2.750000
0.364010,2.750000,2.750000
0.365010,2.760000,2.760000
0.366010,2.760000,2.760000
0.367010,2.760000,2.760000
0.368010,2.760000,2.760000
0.369010,2.760000,2.760000
0.370010,2.760000,2.760000
0.371010,2.760000,2.760000
0.372010,2.760000,2.760000
0.373010,2.760000,2.760000
0.374010,2.760000,2.760000
0.375010,2.770000,2.770000
0.376010,2.770000,2.770000
0.377010,2.770000,2.770000
0.378010,2.770000,2.770000
0.379010,2.770000,2.770000
0.380010,2.770000,2.770000
0.381010,2.770000,2.770000
0.382010,2.770000,2.770000
0.383010,2.770000,2.770000
0.384010,2.770000,2.770000
0.385010,2.780000,2.780000
0.386010,2.780000,2.780000
0.387010,2.780000,2.780000
0.388010,2.780000,2.780000
0.389010,2.780000,2.780000
0.390010,2.780000,2.780000
0.391010,2.780000,2.780000
0.392010,2.780000,2.780000
0.393010,2.780000,2.780000
0.394010,2.780000,2.780000
0.395010,2.780000,2.780000
0.396010,2.790000,2.790000
0.397010,2.790000,2.790000
0.398010,2.790000,2.790000
0.399010,2.790000,2.790000
0.400010,2.790000,2.790000
0.401010,2.790000,2.790000
0.402010,2.790000,2.790000
0.403010,2.790000,2.790000
0.404010,2.790000,2.790000
0.405010,2.790000,2.790000
0.406010,2.800000,2.800000
0.407010,2.800000,2.800000
0.408010,2.800000,2.800000
0.409010,2.800000,2.800000
0.410010,2.800000,2.800000
0.411010,2.800000,2.800000
0.412010,2.800000,2.800000
0.413010,2.800000,2.800000
0.414010,2.800000,2.800000
0.415010,2.800000,2.800000
0.416010,2.810000,2.810000
0.417010,2.810000,2.810000
0.418010,2.810000,2.810000
0.419010,2.810000,2.810000
0.420010,2.810000,2.810000
0.421010,2.810000,2.810000
0.422010,2.810000,2.810000
0.423010,2.810000,2.810000
0.424010,2.810000,2.810000
0.425010,2.810000,2.810000
0.426010,2.810000,2.810000
0.427010,2.820000,2.820000
0.428010,2.820000,2.820000
0.429010,2.820000,2.820000
0.430010,2.820000,2.820000
0.431010,2.820000,2.820000
0.432010,2.820000,2.820000
0.433010,2.820000,2.820000
0.434010,2.820000,2.820000
0.435010,2.820000,2.820000
0.436010,2.820000,2.820000
0.437010,2.820000,2.820000
0.438010,2.830000,2.830000
0.439010,2.830000,2.830000
0.440010,2.830000,2.830000
0.441010,2.830000,2.830000
0.442010,2.830000,2.830000
0.443010,2.830000,2.830000
0.444010,2.830000,2.830000
0.445010,2.830000,2.830000
0.446010,2.830000,2.830000
0.447010,2.830000,2.830000
0.448010,2.840000,2.840000
0.449010,2.840000,2.840000
0.450010,2.840000,2.840000
0.451010,2.840000,2.840000
0.452010,2.840000,2.840000
0.453010,2.840000,2.840000
0.454010,2.840000,2.840000
0.455010,2.840000,2.840000
0.456010,2.840000,2.840000
0.457010,2.840000,2.840000
0.458010,2.840000,2.840000
0.459010,2.850000,2.850000
0.460010,2.850000,2.850000
0.461010,2.850000,2.850000
0.462010,2.850000,2.850000
0.463010,2.850000,2.850000
0.464010,2.850000,2.850000
0.465010,2.850000,2.850000
0.466010,2.850000,2.850000
0.467010,2.850000,2.850000
0.468010,2.850000,2.850000
0.469010,2.850000,2.850000
0.470010,2.860000,2.860000
0.471010,2.860000,2.860000
0.472010,2.860000,2.860000
0.473010,2.860000,2.860000
0.474010,2.860000,2.860000
0.475010,2.860000,2.860000
0.476010,2.860000,2.860000
0.477010,2.860000,2.860000
0.478010,2.860000,2.860000
0.479010,2.860000,2.860000
0.480010,2.860000,2.860000
0.481010,2.870000,2.870000
0.482010,2.870000,2.870000
0.483010,2.870000,2.870000
0.484010,2.870000,2.870000
0.485010,2.870000,2.870000
0.486010,2.870000,2.870000
0.487010,2.870000,2.870000
0.488010,2.870000,2.870000
0.489010,2.870000,2.870000
0.490010,2.870000,2.870000
0.491010,2.870000,2.870000
0.492010,2.880000,2.880000
0.493010,2.880000,2.880000
0.494010,2.880000,2.880000
0.495010,2.880000,2.880000
0.496010,2.880000,2.880000
0.497010,2.880000,2.880000
0.498010,2.880000,2.880000
0.499010,2.880000,2.880000
0.500010,2.880000,2.880000
0.501010,2.880000,2.880000
0.502010,2.880000,2.880000
0.503010,2.890000,2.890000
0.504010,2.890000,2.890000
0.505010,2.890000,2.890000
0.506010,2.890000,2.890000
0.507010,2.890000,2.890000
0.508010,2.890000,2.890000
0.509010,2.890000,2.890000
0.510010,2.890000,2.890000
0.511010,2.890000,2.890000
0.512010,2.890000,2.890000
0.513010,2.890000,2.890000
0.514010,2.900000,2.900000
0.515010,2.900000,2.900000
0.516010,2.900000,2.900000
0.517010,2.900000,2.900000
0.518010,2.900000,2.900000
0.519010,2.900000,2.900000
0.520010,2.900000,2.900000
0.521010,2.900000,2.900000
0.522010,2.900000,2.900000
0.523010,2.900000,2.900000
0.524010,2.900000,2.900000
0.525010,2.900000,2.900000
0.526010,2.910000,2.910000
0.527010,2.910000,2.910000
0.528010,2.910000,2.910000
0.529010,2.910000,2.910000
0.530010,2.910000,2.910000
0.531010,2.910000,2.910000
0.532010,2.910000,2.910000
0.533010,2.910000,2.910000
0.534010,2.910000,2.910000
0.535010,2.910000,2.910000
0.536010,2.910000,2.910000
0.537010,2.920000,2.920000
0.538010,2.920000,2.920000
0.539010,2.920000,2.920000
0.540010,2.920000,2.920000
0.541010,2.920000,2.920000
0.542010,2.920000,2.920000
0.543010,2.920000,2.920000
0.544010,2.920000,2.920000
0.545010,2.920000,2.920000
0.546010,2.920000,2.920000
0.547010,2.920000,2.920000
0.548010,2.930000,2.930000
0.549010,2.930000,2.930000
0.550010,2.930000,2.930000
0.551010,2.930000,2.930000
0.552010,2.930000,2.930000
0.553010,2.930000,2.930000
0.554010,2.930000,2.930000
0.555010,2.930000,2.930000
0.556010,2.930000,2.930000
0.557010,2.930000,2.930000
0.558010,2.930000,2.930000
0.559010,2.930000,2.930000
0.560010,2.940000,2.940000
0.561010,2.940000,2.940000
0.562010,2.940000,2.940000
0.563010,2.940000,2.940000
0.564010,2.940000,2.940000
0.565010,2.940000,2.940000
0.566010,2.940000,2.940000
0.567010,2.940000,2.940000
0.568010,2.940000,2.940000
0.569010,2.940000,2.940000
0.570010,2.940000,2.940000
0.571010,2.940000,2.940000
0.572010,2.950000,2.950000
