3.162278e+19, 1.204967e+08, 7.621498e+05, 3010000, 2.489300e+04, 3.045319e+06, 4.988406e+00, 3.155200e-02 
3.162278e+20, 5.000642e+08, 2.825052e+06, 3010000, 3.103728e+04, 3.036900e+06, 1.071438e+01, 6.052957e-02 
1.000000e+20, 2.544412e+08, 1.471179e+06, 3010000, 2.972287e+04, 3.035932e+06, 7.538420e+00, 4.358714e-02 
1.000000e+19, 5.103732e+07, 3.654204e+05, 3010000, 1.945640e+04, 3.055771e+06, 2.985129e+00, 2.137313e-02 
1.000000e+18, 6.408768e+06, 7.061817e+04, 3010000, 8.228411e+03, 3.047736e+06, 7.793741e-01, 8.587917e-03 
3.162278e+18, 1.906629e+07, 1.667804e+05, 3010000, 1.304822e+04, 3.025904e+06, 1.595937e+00, 1.396030e-02 
1.000000e+16, 3.906901e+03, 1.443047e+02, 24040000, 7.329002e+02, 2.418046e+07, 2.585973e-03, 9.551510e-05 
3.162278e+16, 5.891815e+04, 8.226032e+02, 24040000, 5.129160e+03, 2.426536e+07, 2.463309e-02, 3.439223e-04 
1.000000e+17, 4.492323e+05, 3.224303e+03, 24040000, 1.940635e+04, 2.420129e+07, 1.217308e-01, 8.737062e-04 
3.162278e+17, 1.929686e+06, 9.737941e+03, 24040000, 3.924776e+04, 2.428902e+07, 3.471673e-01, 1.751941e-03 
