freq,spectra
0 , 0.19757
3.52068e+06 , 0.00999904
7.04136e+06 , 0.00622127
1.0562e+07 , 0.00693814
1.40827e+07 , 0.0103494
1.76034e+07 , 0.00161198
2.11241e+07 , 0.00484641
2.46448e+07 , 0.00821047
2.81654e+07 , 0.00260133
3.16861e+07 , 0.00364794
3.52068e+07 , 0.0135968
3.87275e+07 , 0.00675335
4.22482e+07 , 0.0152551
4.57689e+07 , 0.0147858
4.92895e+07 , 0.0198351
5.28102e+07 , 0.0212038
5.63309e+07 , 0.015595
5.98516e+07 , 0.019082
6.33723e+07 , 0.00958351
6.68929e+07 , 0.0132378
7.04136e+07 , 0.0175488
7.39343e+07 , 0.0776834
7.7455e+07 , 0.916441
8.09757e+07 , 1.5757
8.44963e+07 , 2.65016
8.8017e+07 , 4.60455
9.15377e+07 , 5.90007
9.50584e+07 , 7.51987
9.85791e+07 , 8.98222
1.021e+08 , 9.81224
1.0562e+08 , 8.96796
1.09141e+08 , 7.92215
1.12662e+08 , 7.11312
1.16182e+08 , 6.49928
1.19703e+08 , 5.96809
1.23224e+08 , 5.38613
1.26745e+08 , 4.83574
1.30265e+08 , 4.32311
1.33786e+08 , 3.86911
1.37307e+08 , 3.42983
1.40827e+08 , 3.05704
1.44348e+08 , 2.70418
1.47869e+08 , 2.40023
1.51389e+08 , 2.12357
1.5491e+08 , 1.87697
1.58431e+08 , 1.65367
1.61951e+08 , 1.43543
1.65472e+08 , 1.25343
1.68993e+08 , 1.07005
1.72513e+08 , 0.92614
1.76034e+08 , 0.78084
1.79555e+08 , 0.668378
1.83075e+08 , 0.558327
1.86596e+08 , 0.475279
1.90117e+08 , 0.407901
1.93637e+08 , 0.348801
1.97158e+08 , 0.314803
2.00679e+08 , 0.275115
2.04199e+08 , 0.272075
2.0772e+08 , 0.261677
2.11241e+08 , 0.267555
2.14762e+08 , 0.261619
2.18282e+08 , 0.282023
2.21803e+08 , 0.297478
2.25324e+08 , 0.3165
2.28844e+08 , 0.345155
2.32365e+08 , 0.355679
2.35886e+08 , 0.387413
2.39406e+08 , 0.370336
2.42927e+08 , 0.388227
2.46448e+08 , 0.265047
2.49968e+08 , 0.107251
2.53489e+08 , 0.072453
2.5701e+08 , 0.180672
2.6053e+08 , 0.292249
2.64051e+08 , 0.475626
2.67572e+08 , 0.516082
2.71092e+08 , 0.63269
2.74613e+08 , 0.635628
2.78134e+08 , 0.662317
2.81654e+08 , 0.659527
2.85175e+08 , 0.662859
2.88696e+08 , 0.657485
2.92217e+08 , 0.643621
2.95737e+08 , 0.633069
2.99258e+08 , 0.607162
3.02779e+08 , 0.590232
3.06299e+08 , 0.557006
3.0982e+08 , 0.531465
3.13341e+08 , 0.491709
3.16861e+08 , 0.451346
3.20382e+08 , 0.412024
3.23903e+08 , 0.37333
3.27423e+08 , 0.339264
3.30944e+08 , 0.303346
3.34465e+08 , 0.275325
3.37985e+08 , 0.244172
3.41506e+08 , 0.22094
3.45027e+08 , 0.194808
3.48547e+08 , 0.177072
3.52068e+08 , 0.17082
3.55589e+08 , 0.1504
3.59109e+08 , 0.129687
3.6263e+08 , 0.108974
3.66151e+08 , 0.0972118
3.69671e+08 , 0.0858046
3.73192e+08 , 0.0793887
3.76713e+08 , 0.0751276
3.80234e+08 , 0.0735192
3.83754e+08 , 0.0762109
3.87275e+08 , 0.0785933
3.90796e+08 , 0.085336
3.94316e+08 , 0.0898874
3.97837e+08 , 0.0961968
4.01358e+08 , 0.101854
4.04878e+08 , 0.106001
4.08399e+08 , 0.110429
4.1192e+08 , 0.111669
4.1544e+08 , 0.115975
4.18961e+08 , 0.115382
4.22482e+08 , 0.119643
4.26002e+08 , 0.120137
4.29523e+08 , 0.126111
4.33044e+08 , 0.120005
4.36564e+08 , 0.105205
4.40085e+08 , 0.0933692
4.43606e+08 , 0.0850003
4.47126e+08 , 0.0816962
4.50647e+08 , 0.0754209
4.54168e+08 , 0.0704909
4.57689e+08 , 0.069411
4.61209e+08 , 0.0686038
4.6473e+08 , 0.0692428
4.68251e+08 , 0.0679834
4.71771e+08 , 0.0586792
4.75292e+08 , 0.0504679
4.78813e+08 , 0.039909
4.82333e+08 , 0.0336514
4.85854e+08 , 0.029287
4.89375e+08 , 0.0257062
4.92895e+08 , 0.0271912
4.96416e+08 , 0.02619
4.99937e+08 , 0.0270418
5.03457e+08 , 0.0255673
5.06978e+08 , 0.0260727
5.10499e+08 , 0.0240911
5.14019e+08 , 0.0235407
5.1754e+08 , 0.0206272
5.21061e+08 , 0.0155499
5.24581e+08 , 0.0120703
5.28102e+08 , 0.00633485
5.31623e+08 , 0.0146749
5.35143e+08 , 0.0180146
5.38664e+08 , 0.0256489
5.42185e+08 , 0.0321865
5.45706e+08 , 0.0403688
5.49226e+08 , 0.0471539
5.52747e+08 , 0.053355
5.56268e+08 , 0.055512
5.59788e+08 , 0.0570786
5.63309e+08 , 0.0591568
5.6683e+08 , 0.057391
5.7035e+08 , 0.0606082
5.73871e+08 , 0.0595563
5.77392e+08 , 0.0578045
5.80912e+08 , 0.066965
5.84433e+08 , 0.0622558
5.87954e+08 , 0.0581468
5.91474e+08 , 0.0577856
5.94995e+08 , 0.0549089
5.98516e+08 , 0.0525378
6.02036e+08 , 0.0475911
6.05557e+08 , 0.0435798
6.09078e+08 , 0.0385934
6.12598e+08 , 0.0327712
6.16119e+08 , 0.0271176
6.1964e+08 , 0.0198835
6.23161e+08 , 0.0143146
6.26681e+08 , 0.00811068
6.30202e+08 , 0.00624545
6.33723e+08 , 0.0113453
6.37243e+08 , 0.0175012
6.40764e+08 , 0.0245508
6.44285e+08 , 0.0325227
6.47805e+08 , 0.0423736
6.51326e+08 , 0.0522209
6.54847e+08 , 0.0614841
6.58367e+08 , 0.070184
6.61888e+08 , 0.0724895
6.65409e+08 , 0.0735429
6.68929e+08 , 0.0762599
6.7245e+08 , 0.0776522
6.75971e+08 , 0.0788645
6.79491e+08 , 0.0760878
6.83012e+08 , 0.0735143
6.86533e+08 , 0.0591838
6.90053e+08 , 0.0376137
6.93574e+08 , 0.0357821
6.97095e+08 , 0.0549992
7.00615e+08 , 0.0815636
7.04136e+08 , 0.097252
7.07657e+08 , 0.0976183
7.11178e+08 , 0.101058
7.14698e+08 , 0.102491
7.18219e+08 , 0.102561
7.2174e+08 , 0.102697
7.2526e+08 , 0.100638
7.28781e+08 , 0.0995978
7.32302e+08 , 0.0954689
7.35822e+08 , 0.0935708
7.39343e+08 , 0.0872314
7.42864e+08 , 0.0842517
7.46384e+08 , 0.0719343
7.49905e+08 , 0.058937
7.53426e+08 , 0.0455318
7.56946e+08 , 0.0236925
7.60467e+08 , 0.0130535
7.63988e+08 , 0.00966354
7.67508e+08 , 0.0216366
7.71029e+08 , 0.0352705
7.7455e+08 , 0.0375908
7.7807e+08 , 0.0353659
7.81591e+08 , 0.0337266
7.85112e+08 , 0.0294314
7.88633e+08 , 0.0267184
7.92153e+08 , 0.0224379
7.95674e+08 , 0.0196094
7.99195e+08 , 0.0164717
8.02715e+08 , 0.0143531
8.06236e+08 , 0.0156416
8.09757e+08 , 0.0149047
8.13277e+08 , 0.0124278
8.16798e+08 , 0.0143553
8.20319e+08 , 0.0148171
8.23839e+08 , 0.0156981
8.2736e+08 , 0.0182943
8.30881e+08 , 0.0200172
8.34401e+08 , 0.0233455
8.37922e+08 , 0.0265046
8.41443e+08 , 0.0302784
8.44963e+08 , 0.0342685
8.48484e+08 , 0.0384877
8.52005e+08 , 0.042977
8.55525e+08 , 0.0473378
8.59046e+08 , 0.052411
8.62567e+08 , 0.0557653
8.66087e+08 , 0.0586295
8.69608e+08 , 0.0583917
8.73129e+08 , 0.0725162
8.7665e+08 , 0.109263
8.8017e+08 , 0.144501
8.83691e+08 , 0.175883
8.87212e+08 , 0.201641
8.90732e+08 , 0.210545
8.94253e+08 , 0.204854
8.97774e+08 , 0.200697
