time,amplitude
-13.7139, -0.0062328
-13.4014, 0.000906468
-13.0889, 0.00635149
-12.7764, 0.00953915
-12.4639, 0.0120057
-12.1514, 0.0140901
-11.8389, 0.0200747
-11.5264, 0.0249785
-11.2139, 0.0157732
-10.9014, 0.00858678
-10.5889, 0.00553947
-10.2764, -0.00122234
-9.96394, -0.0109912
-9.65144, -0.0138607
-9.33894, -0.0147596
-9.02644, -0.0179283
-8.71394, -0.0212505
-8.40144, -0.0250955
-8.08894, -0.0217327
-7.77644, -0.00962154
-7.46394, -0.00240198
-7.15144, 0.00247847
-6.83894, 0.0121464
-6.52644, 0.020663
-6.21394, 0.0175616
-5.90144, 0.0168446
-5.58894, 0.0205397
-5.27644, 0.0224474
-4.96394, 0.0230372
-4.65144, 0.0130267
-4.33894, 0.000541441
-4.02644, -0.00538882
-3.71394, -0.0120162
-3.40144, -0.0207359
-3.08894, -0.0222893
-2.77644, -0.0159127
-2.46394, -0.0175863
-2.15144, -0.0227186
-1.83894, -0.021477
-1.52644, -0.0180137
-1.21394, -0.00484691
-0.901439, 0.00701006
-0.588939, 0.0166728
-0.276439, 0.0252749
0.036061, 0.0331658
0.348561, 0.0273127
0.661061, 0.0191637
0.973561, 0.0239226
1.28606, 0.0258193
1.59856, 0.0200898
1.91106, 0.00746619
2.22356, -0.0121158
2.53606, -0.0326029
2.84856, -0.0534377
3.16106, -0.0670552
3.47356, -0.0764924
3.78606, -0.0677416
4.09856, -0.0578781
4.41106, -0.0463228
4.72356, -0.000329996
5.03606, 0.0666307
5.34856, 0.140981
5.66106, 0.209933
5.97356, 0.190832
6.28606, 0.157933
6.59856, 0.0921971
6.91106, 0.0219855
7.22356, -0.0523471
7.53606, -0.165909
7.84856, -0.292868
8.16106, -0.372747
8.47356, -0.406118
8.78606, -0.253442
9.09856, -0.0675201
9.41106, 0.16436
9.72356, 0.290109
10.0361, 0.357325
10.3486, 0.369727
10.6611, 0.368492
10.9736, 0.315293
11.2861, 0.213009
11.5986, 0.00587025
11.9111, -0.164092
12.2236, -0.302847
12.5361, -0.352165
12.8486, -0.374528
13.1611, -0.330218
13.4736, -0.271944
13.7861, -0.165212
14.0986, -0.0525688
14.4111, 0.0675161
14.7236, 0.180072
15.0361, 0.288878
15.3486, 0.302989
15.6611, 0.299754
15.9736, 0.251913
16.2861, 0.194012
16.5986, 0.116739
16.9111, 0.0343643
17.2236, -0.0519133
17.5361, -0.132979
17.8486, -0.211918
18.1611, -0.245099
18.4736, -0.260927
18.7861, -0.222085
19.0986, -0.169701
19.4111, -0.10178
19.7236, -0.0320017
20.0361, 0.0386087
20.3486, 0.0896427
20.6611, 0.13761
20.9736, 0.177873
21.2861, 0.199765
21.5986, 0.189667
21.9111, 0.158617
22.2236, 0.112982
22.5361, 0.0500011
22.8486, -0.0159566
23.1611, -0.0579046
23.4736, -0.0954709
23.7861, -0.120816
24.0986, -0.138381
24.4111, -0.147807
24.7236, -0.13501
25.0361, -0.113287
25.3486, -0.0711723
25.6611, -0.026426
25.9736, 0.0249387
26.2861, 0.0643586
26.5986, 0.0849207
26.9111, 0.0985651
27.2236, 0.107834
