WFRMS, V_rate
0.70, 78.20573
0.75, 78.20573
0.80, 78.20573
0.85, 78.20573
0.90, 78.20573
0.95, 78.20573
1.00, 78.20573
1.05, 78.20573
1.10, 78.20573
1.15, 78.20573
1.20, 78.20573
1.25, 78.20573
1.30, 78.20573
1.35, 78.20573
1.40, 78.20573
1.45, 78.20573
1.50, 78.20573
1.55, 78.20573
1.60, 78.20573
1.65, 78.20573
1.70, 78.20573
1.75, 78.20573
1.80, 78.20573
1.85, 78.20573
1.90, 78.20573
1.95, 78.20573
2.00, 78.20573
2.05, 78.20573
2.10, 78.20573
2.15, 78.20573
2.20, 78.20573
2.25, 78.20573
2.30, 78.20573
2.35, 78.20573
2.40, 78.20573
2.45, 78.20573
2.50, 78.20573
2.55, 78.20573
2.60, 78.20573
2.65, 78.20573
2.70, 78.20573
2.75, 78.20573
2.80, 78.20573
2.85, 78.20573
2.90, 78.20573
2.95, 78.20573
3.00, 78.20573
3.05, 100.05205
3.10, 100.05205
3.15, 100.05205
3.20, 100.05205
3.25, 100.05205
3.30, 100.05205
3.35, 100.05205
3.40, 100.05205
3.45, 100.05205
3.50, 100.05205
3.55, 100.05205
3.60, 100.05205
3.65, 100.05205
3.70, 100.05205
3.75, 100.05205
3.80, 100.05205
3.85, 100.05205
3.90, 100.05205
3.95, 100.05205
4.00, 100.05205
4.05, 100.05205
4.10, 100.05205
4.15, 100.05205
4.20, 100.05205
4.25, 100.05205
4.30, 100.05205
4.35, 100.05205
4.40, 100.05205
4.45, 100.05205
4.50, 100.05205
4.55, 100.05205
4.60, 100.05205
4.65, 100.05205
4.70, 100.05205
4.75, 100.05205
4.80, 100.05205
4.85, 100.05205
4.90, 100.05205
4.95, 100.05205
--------------------------------------
WFRMS, H_rate
-5.00, 0.00000
-4.95, 0.00000
-4.90, 0.00000
-4.85, 0.00000
-4.80, 0.00000
-4.75, 0.00000
-4.70, 0.00000
-4.65, 0.00000
-4.60, 0.00000
-4.55, 0.00000
-4.50, 0.00000
-4.45, 0.00000
-4.40, 0.00000
-4.35, 0.00000
-4.30, 0.00000
-4.25, 0.00000
-4.20, 0.00000
-4.15, 0.00000
-4.10, 0.00000
-4.05, 0.00000
-4.00, 0.04384
-3.95, 0.04384
-3.90, 0.04384
-3.85, 0.04384
-3.80, 0.04384
-3.75, 0.04384
-3.70, 0.04384
-3.65, 0.04384
-3.60, 0.04384
-3.55, 0.04384
-3.50, 0.04384
-3.45, 0.09228
-3.40, 0.09228
-3.35, 0.14507
-3.30, 0.14507
-3.25, 0.14507
-3.20, 0.30819
-3.15, 0.41339
-3.10, 0.46611
-3.05, 0.56980
-3.00, 0.67448
-2.95, 0.72779
-2.90, 0.97749
-2.85, 1.02870
-2.80, 1.38783
-2.75, 1.59851
