WFRMS, V_rate
-5.00, 0.00000
-4.95, 0.00000
-4.90, 0.00000
-4.85, 0.00000
-4.80, 0.00000
-4.75, 0.00000
-4.70, 0.00000
-4.65, 0.00000
-4.60, 0.00000
-4.55, 0.00000
-4.50, 0.00000
-4.45, 0.00000
-4.40, 0.00000
-4.35, 0.00000
-4.30, 0.00000
-4.25, 0.00000
-4.20, 0.00000
-4.15, 0.00000
-4.10, 0.00000
-4.05, 0.00000
-4.00, 0.00000
-3.95, 0.00000
-3.90, 0.00000
-3.85, 0.00000
-3.80, 0.00000
-3.75, 0.00000
-3.70, 0.00000
-3.65, 0.00000
-3.60, 0.00000
-3.55, 0.00000
-3.50, 0.00000
-3.45, 0.00000
-3.40, 0.00000
-3.35, 0.00000
-3.30, 0.00000
-3.25, 0.00000
-3.20, 0.00000
-3.15, 0.00000
-3.10, 0.00000
-3.05, 0.00000
-3.00, 0.00013
-2.95, 0.00013
-2.90, 0.00013
-2.85, 0.00013
-2.80, 0.00013
-2.75, 0.00013
-2.70, 0.00013
-2.65, 0.00013
-2.60, 0.00026
-2.55, 0.00026
-2.50, 0.00026
-2.45, 0.00026
-2.40, 0.00026
-2.35, 0.00038
-2.30, 0.00051
-2.25, 0.00064
-2.20, 0.00128
-2.15, 0.00153
-2.10, 0.00179
-2.05, 0.00191
-2.00, 0.00230
-1.95, 0.00255
-1.90, 0.00255
-1.85, 0.00306
-1.80, 0.00383
-1.75, 0.00472
-1.70, 0.00676
-1.65, 0.00969
-1.60, 0.01224
-1.55, 0.01454
-1.50, 0.01798
-1.45, 0.02168
-1.40, 0.02601
-1.35, 0.02984
-1.30, 0.03634
-1.25, 0.04310
-1.20, 0.05177
-1.15, 0.06184
-1.10, 0.07204
-1.05, 0.08186
-1.00, 0.09614
-0.95, 0.11234
-0.90, 0.12853
-0.85, 0.14982
-0.80, 0.17188
-0.75, 0.19675
-0.70, 0.22633
-0.65, 0.25987
-0.60, 0.29672
-0.55, 0.33726
-0.50, 0.38585
-0.45, 0.43175
-0.40, 0.48186
-0.35, 0.53516
-0.30, 0.58706
-0.25, 0.64699
-0.20, 0.70755
-0.15, 0.77144
-0.10, 0.83226
-0.05, 0.89716
0.00, 0.96806
0.05, 1.03895
0.10, 1.11278
0.15, 1.19324
0.20, 1.26924
0.25, 1.34931
0.30, 1.42493
0.35, 1.49200
0.40, 1.55371
0.45, 1.60765
