Name ,  RA , Decl , ERR , T100 , T90 , UTT(Trigger) , UTPrecSec , T1 , T2 , Tfluence , Alpha , Beta , Epeak , Fluence , emin, emax,  z , f , epsilon1 , epsilon2 , AlphaNu , BetaNu , GammaNu ,A2Alt, A2Az,A3Alt, A3Az
150809A,351.03,-16.59,2.15,47.36,47.36,8/9/15 12:22,0.119,0.51,47.87,47.36,1.05,2.25,205,6.09E-06,0.008,1,2.15,3.81E-15,0.74,3.17,0.75,1.95,3.95,16.640765,317.492415,16.580392,295.864602
140627A,66.49,-16.76,13.59,7.42,7.42,6/27/14 9:37,0.916,-3.58,3.84,7.42,1.05,2.25,205,9.00E-07,0.008,1,2.15,5.64E-16,0.74,3.17,0.75,1.95,3.95,16.644562,116.484252,16.71363,94.870448
161218B,358.64,-16.95,1,37.56,26,12/18/16 8:32,0.65,-2,35.56,34.8,0.51,3.06,214.8,8.91E-05,0.01,1,2.15,1.21E-13,0.52,3.17,-0.06,2.49,4.49,16.802336,252.951668,16.744367,231.346264
150110C,68.576,-16.869,0.1155,40,-,1/10/15 23:41,0,-9,31,0,1,2,200,1.00E-05,0.01,10,2.15,1.16E-14,0.35,3.17,1,2,4,16.89787,73.08255,16.95592,51.453401
150911C,33.11,-16.94,3.8,46.08,46.08,9/11/15 14:06,0.606,1.02,47.1,46.08,1.05,2.25,205,9.09E-06,0.008,1,2.15,5.69E-15,0.74,3.17,0.75,1.95,3.95,16.963018,301.163185,16.895114,279.540758
160501A,286.384,-17.241,0.0003,126.9,118,5/1/16 0:40,0,-54.3,72.6,126.9,0.6,2.6,28,9.50E-07,0.015,0.15,2.15,1.50E-16,2.52,3.17,0.4,2.4,4.4,17.028561,166.828937,17.063807,145.230248
130723A,217.77,-16.86,8.16,8.19,8.19,7/23/13 2:12,0.122,-0.77,7.42,8.19,1.05,2.25,205,8.71E-07,0.008,1,2.15,5.45E-16,0.74,3.17,0.75,1.95,3.95,17.108318,353.530618,17.08035,331.893642
130811A,192.89,-17.04,3.36,44.8,44.8,8/11/13 4:28,0.687,-2.3,42.5,44.8,1.05,2.25,205,6.38E-06,0.008,1,2.15,4.00E-15,0.74,3.17,0.75,1.95,3.95,17.133976,275.904304,17.065288,254.291235
151023B,359.74,-17.15,16.4,10.24,10.24,10/23/15 2:29,0.137,-2.3,7.94,10.24,1.05,2.25,205,1.34E-06,0.008,1,2.15,8.36E-16,0.74,3.17,0.75,1.95,3.95,17.203937,41.135947,17.232481,19.498898
130310A,141.905,-17.431,0.2177,16,16,3/10/13 20:09,0.503,4.1,20.1,0.9,1.01,2.27,2100,1.40E-05,0.01,1,2.15,2.25E-13,0.07,3.17,0.73,1.99,3.99,17.347174,140.72557,17.405444,119.120478
131110A,69.268,-17.259,0.0081,90,-,11/10/13 11:53,0,0,90,0,1.61,2.61,200,3.53E-06,0.015,0.15,2.15,5.14E-15,0.35,3.17,0.39,1.39,3.39,17.35574,310.988949,17.29174,289.362857
130418B,216.53,-17.54,8.46,169.48,169.48,4/18/13 20:14,0.486,-45.06,124.42,169.48,1.05,2.25,205,5.98E-06,0.008,1,2.15,3.74E-15,0.74,3.17,0.75,1.95,3.95,17.412231,175.638096,17.437796,154.041316
141102B,223.23,-17.42,15.61,0.01,0.01,11/2/14 2:41,0.339,-0.03,-0.02,0.01,1.05,2.25,205,7.36E-08,0.008,1,0.5,1.14E-17,2.1,3.26,0.75,2.75,4.75,17.416909,251.463981,17.359979,229.859505
140221A,107.447,-17.336,0.0608,10,-,2/21/14 7:12,0,0,10,0,1,2,200,1.00E-05,0.01,10,2.15,1.16E-14,0.35,3.17,1,2,4,17.505774,317.932409,17.445675,296.303864
151228A,214.017,-17.665,0.0182,0.336,0.25,12/28/15 3:05,0.462,-0.06,0.276,0.38,0.41,2.41,747,9.20E-07,0.01,1,0.5,1.39E-15,0.42,2.1,0.59,2.59,4.59,17.546297,181.362533,17.565234,159.76662
140118A,330.999,-17.937,0.0152,104.48,84.15,1/18/14 1:32,0,-73.61,30.87,97,1.89,2.89,200,6.00E-06,0.01,1,2.15,2.78E-15,0.35,3.17,0.11,1.11,3.11,17.964505,300.4417,17.896391,278.819223
161224A,204.82,-18.028,0.0193,52.72,47.04,12/24/16 0:00,0,12.46,65.18,52.72,0.21,2.21,34.5,8.20E-07,0.015,0.15,2.15,2.41E-16,2.04,3.17,0.79,2.79,4.79,17.969037,221.76057,17.939776,200.163943
160220B,259.865,-18.124,0.0003,45.12,31.4,2/20/16 11:10,0,-7.58,37.54,16.64,0.84,2.84,197,1.49E-05,0.02,10,2.15,2.34E-14,0.36,3.17,0.16,2.16,4.16,18.253489,52.298526,18.29387,30.662403
130416B,51.21,-18.25,4.86,0.19,0.19,4/16/13 18:28,0.296,-0.05,0.14,0.19,1.05,2.25,205,9.39E-07,0.008,1,0.5,1.45E-16,2.1,3.26,0.75,2.75,4.75,18.3545,38.818101,18.380434,17.179272
160220A,236.953,-18.566,0.0003,9.28,8.3,2/20/16 1:25,0,-0.02,9.26,12.288,1.5,2.5,200,1.20E-06,0.01,1,2.15,1.03E-15,0.35,3.17,0.5,1.5,3.5,18.423762,176.107853,18.448791,154.512412
150727A,203.968,-18.326,0.0003,104.64,88,7/27/15 19:02,0,-8.7,95.94,60,0.7,2.7,149,7.90E-06,0.05,10,0.313,3.65E-16,2.72,7.59,0.3,2.3,4.3,18.427079,83.295775,18.49115,61.669116
150603B,274.45,-18.71,5.91,160,160,6/3/15 19:45,0.511,-58.11,101.89,160,1.05,2.25,205,6.56E-06,0.008,1,2.15,4.11E-15,0.74,3.17,0.75,1.95,3.95,18.518238,196.009105,18.519515,174.415315
151130A,136.27,-18.82,5.8,20.22,20.22,11/30/15 3:50,0.019,-0.51,19.71,20.22,1.05,2.25,205,2.38E-06,0.008,1,2.15,1.49E-15,0.74,3.17,0.75,1.95,3.95,18.789285,119.798953,18.857575,98.186977
130514B,147.604,-18.969,0.0304,17.41,17.41,5/14/13 13:26,0.53,-0.51,16.9,0,1.72,2.72,200,8.80E-07,0.015,0.15,2.15,9.94E-16,0.35,3.17,0.28,1.28,3.28,18.847781,183.378167,18.864334,161.784162
141229A,71.479,-18.956,0.0608,13.82,13.82,12/29/14 11:48,0.836,0,13.82,8.448,1.03,3.03,254,4.70E-06,0.02,10,2.15,8.17E-15,0.28,3.17,-0.03,1.97,3.97,18.9205,266.186069,18.855084,244.577367
150724A,97.56,-19.165,0.0003,326.49,280,7/24/15 5:46,0,-1.07,325.42,326.49,2.06,3.06,200,2.20E-06,0.015,0.15,2.15,1.32E-15,0.35,3.17,-0.06,0.94,2.94,18.987905,179.142951,19.009437,157.548651
131014A,100.5,-19.1,0.45,12.328,3.2,10/14/13 5:09,0.202,0.96,13.288,5.2,0.34,2.58,318,1.90E-04,0.01,1,2.15,3.86E-13,0.45,3.17,0.42,2.66,4.66,19.047008,110.253151,19.116912,88.637261
130325A,122.78,-18.9,0.25,9.868,9.72,3/25/13 4:51,0.298,0.58,10.448,9.213,0.73,2.18,202.2,8.25E-06,0.01,1,2.15,5.57E-15,0.83,3.17,0.82,2.27,4.27,19.119854,336.817609,19.074611,315.181873
140717A,168.48,-18.94,6,80.64,80.64,7/17/14 19:50,0.982,-48.13,32.51,80.64,1.05,2.25,205,5.79E-06,0.008,1,2.15,3.62E-15,0.74,3.17,0.75,1.95,3.95,19.155141,45.112061,19.188048,23.473338
150415A,220.63,-19.34,3.59,34.56,34.56,4/15/15 0:41,0.531,0,34.56,34.56,1.05,2.25,205,3.85E-06,0.008,1,2.15,2.41E-15,0.74,3.17,0.75,1.95,3.95,19.317231,117.47263,19.386091,95.859835
140513A,248.36,-19.5,3.93,17.15,17.15,5/13/14 17:22,0.278,-0.51,16.64,17.15,1.05,2.25,205,4.11E-06,0.008,1,2.15,2.57E-15,0.74,3.17,0.75,1.95,3.95,19.397342,226.295908,19.363142,204.70016
