Name ,  RA , Decl , ERR , T100 , T90 , UTT(Trigger) , UTPrecSec , T1 , T2 , Tfluence , Alpha , Beta , Epeak , Fluence , emin, emax,  z , f , epsilon1 , epsilon2 , AlphaNu , BetaNu , GammaNu ,A2Alt, A2Az,A3Alt, A3Az
131021A,329.12,-25.35,6.39,17.67,17.67,10/21/13 8:26,0.451,-0.77,16.9,17.67,1.05,2.25,205,1.40E-06,0.008,1,2.15,8.75E-16,0.74,3.17,0.75,1.95,3.95,25.32277,282.298,25.253,260.683511
150815A,289.92,-25.54,7.01,24.58,24.58,8/15/15 14:29,0.314,-2.05,22.53,24.58,1.05,2.25,205,2.25E-06,0.008,1,2.15,1.41E-15,0.74,3.17,0.75,1.95,3.95,25.35925,218.633022,25.333496,197.046623
150831A,221.024,-25.635,0.0003,4.4,1,8/31/15 10:34,0.519,0,4.4,0.912,0.5,2.5,564,2.40E-06,0.02,10,2.15,1.68E-14,0.12,3.17,0.5,2.5,4.5,25.514749,193.104954,25.519565,171.521057
140619C,233.018,-25.599,0.407,97.792,105,6/19/14 22:46,0,0,97.792,97.792,1.05,2.37,169,1.10E-04,0.02,10,2.15,4.81E-14,0.82,3.17,0.63,1.95,3.95,25.636175,93.433424,25.704214,71.808254
140628B,226.03,-25.83,13.04,12.55,12.55,6/28/14 15:01,0.122,-11.78,0.77,12.55,1.05,2.25,205,1.47E-06,0.008,1,2.15,9.18E-16,0.74,3.17,0.75,1.95,3.95,25.702316,193.901383,25.70616,172.317796
131008A,328,-25.98,2.5,36.35,36.35,10/8/13 20:36,0.793,0,36.35,36.35,1.05,2.25,205,8.23E-06,0.008,1,2.15,5.15E-15,0.74,3.17,0.75,1.95,3.95,25.844013,111.346209,25.91383,89.731508
140905A,340.5,-25.94,2.82,110.08,110.08,9/5/14 10:53,0.717,5.89,115.97,110.08,1.05,2.25,205,2.75E-05,0.008,1,2.15,1.72E-14,0.74,3.17,0.75,1.95,3.95,25.961213,302.425404,25.8937,280.799153
130925A,41.179,-26.153,0.0003,5274.84,6.4,9/25/13 3:56,0.286,-3.84,5271,4500,1.42,3.42,181,5.00E-04,0.01,10,0.35,2.20E-14,2.12,7.39,-0.42,1.58,3.58,26.099591,87.897722,26.165719,66.269204
160428A,28.19,-26.52,8.83,0.57,0.57,4/28/16 9:53,0.762,-0.38,0.19,0.57,1.05,2.25,205,1.78E-07,0.008,1,0.5,2.75E-17,2.1,3.26,0.75,2.75,4.75,26.313511,133.019771,26.376458,111.417711
160218A,33.33,-26.45,9.69,20.22,20.22,2/18/16 17:03,0.419,-9.47,10.75,20.22,1.05,2.25,205,1.27E-06,0.008,1,2.15,7.96E-16,0.74,3.17,0.75,1.95,3.95,26.350046,99.290151,26.419413,77.668214
150629A,307.65,-26.45,11.18,1.92,1.92,6/29/15 13:32,0.688,-0.96,0.96,1.92,1.05,2.25,205,3.69E-07,0.008,1,0.5,5.69E-17,2.1,3.26,0.75,2.75,4.75,26.479543,297.026235,26.410585,275.402976
131006A,325.38,-26.63,18.48,0.13,0.13,10/6/13 8:48,0.364,-0.13,0,0.13,1.05,2.25,205,1.27E-07,0.008,1,0.5,1.96E-17,2.1,3.26,0.75,2.75,4.75,26.623174,287.928811,26.55317,266.311046
160712A,304.16,-26.958,0.0003,16.64,25,7/12/16 19:53,0.42,0,16.64,16.64,0.17,2.17,460,6.50E-06,0.02,10,2.15,4.19E-14,0.15,3.17,0.83,2.83,4.83,26.713937,184.55393,26.729083,162.971103
161219B,91.714,-26.792,0.0003,67727.38,10,12/19/16 0:00,0,0,67727.38,10,1.59,3.59,91,1.00E-05,0.01,10,0.1475,2.23E-16,3.25,8.69,-0.59,1.41,3.41,26.721335,113.659191,26.790883,92.046008
150424A,152.306,-26.631,0.0001,106.38,91,4/24/15 7:42,0,-0.06,106.32,0.256,0.37,2.37,919,1.81E-05,0.02,10,2.15,2.36E-13,0.08,3.17,0.63,2.63,4.63,26.789898,294.34331,26.72045,272.721603
140907B,163.82,-27,9.53,27.39,27.39,9/7/14 10:18,0.89,-7.42,19.97,27.39,1.05,2.25,205,1.35E-06,0.008,1,2.15,8.43E-16,0.74,3.17,0.75,1.95,3.95,26.949387,132.783515,27.01246,111.181749
140405A,119.1,-26.89,3.92,39.93,39.93,4/5/14 0:47,0.521,-0.51,39.42,39.93,1.05,2.25,205,2.60E-06,0.008,1,2.15,1.63E-15,0.74,3.17,0.75,1.95,3.95,27.108478,23.983269,27.116888,2.330445
140304B,354.18,-27.03,3.31,232.71,232.71,3/4/14 20:22,0.144,1.02,233.73,232.71,1.05,2.25,205,8.32E-06,0.008,1,2.15,5.21E-15,0.74,3.17,0.75,1.95,3.95,27.141755,355.916168,27.116475,334.265479
150831B,271.03,-27.243,0.0203,13.76,13.76,8/31/15 22:19,0.158,-1.66,12.1,10.3,0.93,2.93,82.3,2.51E-06,0.01,1,2.15,1.24E-15,0.86,3.17,0.07,2.07,4.07,27.315116,66.434635,27.36824,44.793819
160419A,16.418,-27.341,0.0101,30.98,24.32,4/19/16 15:16,0.389,-20.48,10.5,13,0.76,2.76,107.1,3.50E-06,0.015,0.15,2.15,1.88E-15,1.11,3.17,0.24,2.24,4.24,27.38056,49.085165,27.417666,27.437154
150118C,160.077,-27.555,0.096,3.064,0.29,1/18/15 22:14,0.661,0,3.064,0.448,0.9,2,415,1.20E-06,0.01,1,2.15,1.99E-15,0.46,3.17,1,2.1,4.1,27.444946,178.337031,27.467406,156.754249
130807A,269.801,-27.616,0.0172,176,176,8/7/13 10:25,0,-12.18,163.82,176,0.31,2.31,75.9,1.20E-06,0.015,0.15,2.15,1.56E-15,0.93,3.17,0.69,2.69,4.69,27.604976,267.089026,27.539174,245.484274
150430A,326.481,-27.919,0.0162,135.8,111.62,4/30/15 0:21,0.647,-4.1,131.7,0,0.79,2.21,200,2.95E-05,0.02,10,2.15,4.41E-14,0.35,3.17,0.79,2.21,4.21,27.687269,213.443959,27.667506,191.86195
130406B,109.66,-27.86,7.66,88.83,88.83,4/6/13 8:00,0.766,-5.12,83.71,88.83,1.05,2.25,205,3.21E-06,0.008,1,2.15,2.01E-15,0.74,3.17,0.75,1.95,3.95,27.873093,264.473903,27.80845,242.870867
131102A,74.1,-28.01,14.82,62.98,62.98,11/2/13 14:55,0.623,0,62.98,62.98,1.05,2.25,205,1.42E-06,0.008,1,2.15,8.90E-16,0.74,3.17,0.75,1.95,3.95,28.013887,277.870628,27.944774,256.259332
160709A,235.996,-28.188,0.0243,5.06,5.6,7/9/16 19:49,0.5,-0.26,4.8,0.4,0.51,2.51,2554,1.50E-05,0.02,10,2.15,2.46E-13,0.06,3.17,0.49,2.49,4.49,28.141993,120.60521,28.210058,98.996755
160221B,232.082,-28.434,0.04,11.52,11.52,2/21/16 23:49,0.218,-1.79,9.73,11.52,1.05,2.25,205,1.75E-06,0.008,1,2.15,1.10E-15,0.74,3.17,0.75,1.95,3.95,28.3018,193.234221,28.306455,171.654604
150720A,119.581,-28.263,0.0003,161.5,151,7/20/15 0:00,0,-35.1,126.4,161.5,2.61,3.61,200,5.60E-07,0.015,0.15,2.15,1.46E-16,0.35,3.17,-0.61,0.39,2.39,28.378279,291.882654,28.308514,270.262246
160401A,290.19,-28.9,2.73,20.99,20.99,4/1/16 1:34,0.509,0.77,21.76,20.99,1.05,2.25,205,9.31E-06,0.008,1,2.15,5.83E-15,0.74,3.17,0.75,1.95,3.95,28.677667,186.777791,28.690148,165.198245
140701A,351.45,-28.66,3.82,25.09,25.09,7/1/14 13:36,0.074,-7.68,17.41,25.09,1.05,2.25,205,2.65E-06,0.008,1,2.15,1.66E-15,0.74,3.17,0.75,1.95,3.95,28.751464,337.73365,28.707075,316.086734
140901B,112.184,-29.209,0.0203,65,65,9/1/14 6:17,0.79,0,65,65,1.2,3.2,219,3.80E-06,0.01,1,2.15,4.84E-15,0.32,3.17,-0.2,1.8,3.8,29.079107,147.40715,29.13246,125.815151
140901C,112.184,-29.209,0.1,65.02,65.02,9/1/14 6:17,0.787,-0.51,64.51,65.02,1.05,2.25,205,2.93E-06,0.008,1,2.15,1.83E-15,0.74,3.17,0.75,1.95,3.95,29.079107,147.40715,29.13246,125.815151
130831B,192.42,-29.183,0.0003,44.5,37.8,8/31/13 13:48,0,-13.9,30.6,44.5,1.88,2.88,200,1.40E-06,0.015,0.15,2.15,1.14E-15,0.35,3.17,0.12,1.12,3.12,29.176698,115.420183,29.245966,93.808635
160827A,179.274,-29.178,0.0243,14.59,13.3,8/27/16 15:46,0,-5.81,8.78,14.59,1.95,2.95,200,4.00E-07,0.015,0.15,2.15,2.88E-16,0.35,3.17,0.05,1.05,3.05,29.314768,76.294689,29.374918,54.657309
161117A,322.052,-29.614,0.0002,164.14,122,11/17/16 1:35,0.36,-4.7,159.44,134.1,0.43,2.27,68.04,3.93E-05,0.01,1,1.549,2.37E-15,3.67,3.91,0.73,2.57,4.57,29.728019,351.560068,29.697852,329.906775
140511A,329.76,-30.06,8.84,1.4,1.4,5/11/14 2:17,0.56,-0.06,1.34,1.4,1.05,2.25,205,3.71E-07,0.008,1,0.5,5.72E-17,2.1,3.26,0.75,2.75,4.75,29.798442,176.584554,29.822917,155.004899
141125A,127.91,-29.874,0.429,2,-,11/25/14 3:33,0,0,2,0,1,2,200,1.00E-05,0.01,10,2.15,1.16E-14,0.35,3.17,1,2,4,29.827637,120.605691,29.895702,98.997868
150227A,190.3,-29.93,8.15,17.41,17.41,2/27/15 16:51,0.54,-1.54,15.87,17.41,1.05,2.25,205,2.46E-06,0.008,1,2.15,1.54E-15,0.74,3.17,0.75,1.95,3.95,29.948816,250.03805,29.892913,228.44507
150511A,91.18,-30.35,5.05,31.24,31.24,5/11/15 8:41,0.502,-0.26,30.98,31.24,1.05,2.25,205,3.35E-06,0.008,1,2.15,2.10E-15,0.74,3.17,0.75,1.95,3.95,30.181313,201.678809,30.175657,180.102151
150426A,17.64,-30.23,1.46,22.53,22.53,4/26/15 14:15,0.223,0.83,23.36,22.53,1.05,2.25,205,1.09E-05,0.008,1,2.15,6.79E-15,0.74,3.17,0.75,1.95,3.95,30.246515,59.471406,30.293716,37.823989
150318B,269.05,-30.22,2.19,94.72,94.72,3/18/15 12:29,0.024,0.77,95.49,94.72,1.05,2.25,205,4.33E-06,0.008,1,2.15,2.71E-15,0.74,3.17,0.75,1.95,3.95,30.400587,15.807451,30.399024,354.149149
140223A,141.12,-30.4,5.55,17.41,17.41,2/23/14 11:53,0.119,-0.77,16.64,17.41,1.05,2.25,205,1.98E-06,0.008,1,2.15,1.24E-15,0.74,3.17,0.75,1.95,3.95,30.49663,279.30258,30.427259,257.690902
141209A,90.2,-30.57,3.5,78.09,78.09,12/9/14 3:07,0.542,2.3,80.39,78.09,1.05,2.25,205,5.55E-06,0.008,1,2.15,3.47E-15,0.74,3.17,0.75,1.95,3.95,30.620049,75.37831,30.679617,53.739274
151218A,9.45,-30.73,10.77,3.33,3.33,12/18/15 20:33,0.902,-0.77,2.56,3.33,1.05,2.25,205,6.61E-07,0.008,1,2.15,4.14E-16,0.74,3.17,0.75,1.95,3.95,30.665958,83.945401,30.730343,62.311836
130701C,325.94,-30.89,1.68,1.6,1.6,7/1/13 18:15,0.713,-0.06,1.54,1.6,1.05,2.25,205,4.92E-06,0.008,1,0.5,7.59E-16,2.1,3.26,0.75,2.75,4.75,30.733844,241.911851,30.684458,220.32409
130715A,287.37,-31.05,1,92,46,7/15/13 21:44,0.377,-30,62,61.44,0.58,2.44,314.6,4.70E-05,0.01,1,2.15,7.92E-14,0.46,3.17,0.56,2.42,4.42,30.885345,137.314717,30.945818,115.718608
131117A,332.331,-31.762,0.0003,13,11,11/17/13 0:34,0,-1,12,13,0.4,2.4,44,2.50E-07,0.015,0.15,4.042,5.46E-16,0.62,1.98,0.6,2.6,4.6,31.874254,17.51568,31.874777,355.854908
141105A,202.6,-32,5.67,19.2,19.2,11/5/14 8:35,0.875,-7.42,11.78,19.2,1.05,2.25,205,1.84E-06,0.008,1,2.15,1.15E-15,0.74,3.17,0.75,1.95,3.95,31.929936,139.137954,31.989255,117.543917
140919A,221.537,-32.176,0.0003,175.3,151.3,9/19/14 15:15,0,-0.7,174.6,129.03,1.8,3.8,103,1.20E-05,0.01,1,2.15,8.32E-15,0.19,3.17,-0.8,1.2,3.2,32.189673,104.31654,32.259605,82.697185
130610B,176.359,-32.187,0.277,16.64,16.64,6/10/13 21:21,0.093,0,16.64,16.64,1.7,3.7,62,8.50E-06,0.02,10,2.15,2.78E-15,1.14,3.17,-0.7,1.3,3.3,32.341858,66.626818,32.395133,44.980788
140701B,285.44,-32.59,4.33,6.91,6.91,7/1/14 19:59,0.257,-1.79,5.12,6.91,1.05,2.25,205,2.61E-06,0.008,1,2.15,1.63E-15,0.74,3.17,0.75,1.95,3.95,32.376067,175.708878,32.40154,154.133009
140329A,145.698,-32.229,0.2,33.024,33.024,3/29/14 7:04,0,0,33.024,35.9,0.83,2.38,244,7.07E-05,0.01,1,2.15,6.95E-14,0.59,3.17,0.62,2.17,4.17,32.451105,322.708331,32.3942,301.065188
130408A,134.405,-32.361,0.0003,35.5,7,4/8/13 21:51,0,-2,33.5,16.64,0.7,2.3,272,1.20E-05,0.02,10,3.758,4.96E-14,0.25,2.1,0.7,2.3,4.3,32.455125,79.144791,32.516981,57.506673
140720A,175.03,-32.31,28.19,0.32,0.32,7/20/14 3:47,0.368,-0.13,0.19,0.32,1.05,2.25,205,2.00E-07,0.008,1,0.5,3.08E-17,2.1,3.26,0.75,2.75,4.75,32.458657,290.094686,32.388743,268.4751
150122A,151.23,-32.6,3.3,53.25,53.25,1/22/15 23:02,0.32,-0.51,52.74,53.25,1.05,2.25,205,3.17E-06,0.008,1,2.15,1.98E-15,0.74,3.17,0.75,1.95,3.95,32.505102,153.572843,32.553274,131.988008
140901A,15.816,-32.755,0.2123,0.18,0.18,9/1/14 19:41,0.575,-0.02,0.16,0.19,0.3,3,1250,4.80E-06,0.01,1,0.5,6.10E-15,0.43,2.1,0,2.7,4.7,32.507688,209.345151,32.492772,187.771492
151120A,157.25,-32.524,0.025,30.93,20,11/20/15 8:22,0.357,0,30.93,21.757,1.26,2.3,217,9.40E-06,0.01,1,2.15,6.08E-15,0.63,3.17,0.7,1.74,3.74,32.627359,82.505555,32.691032,60.869658
160111B,310.24,-32.78,5.68,26.88,26.88,1/11/16 2:45,0.291,-0.51,26.37,26.88,1.05,2.25,205,2.63E-06,0.008,1,2.15,1.64E-15,0.74,3.17,0.75,1.95,3.95,32.718023,268.740565,32.651559,247.137446
150805B,326.08,-33.4,13.14,1.41,1.41,8/5/15 17:54,0.51,-0.58,0.83,1.41,1.05,2.25,205,3.82E-07,0.008,1,0.5,5.90E-17,2.1,3.26,0.75,2.75,4.75,33.166028,213.435891,33.14627,191.862533
140308A,357.561,-33.348,0.1537,90,64,3/8/14 3:49,0.03,-10,80,65.024,0.81,2.07,246,1.01E-04,0.02,10,2.15,5.29E-14,0.74,3.17,0.93,2.19,4.19,33.188062,244.193589,33.136739,222.607468
150202A,39.227,-33.148,0.0003,28.8,25.7,2/2/15 23:10,0,-1.7,27.1,28.8,1.5,2.5,200,6.10E-07,0.015,0.15,2.15,1.17E-15,0.35,3.17,0.5,1.5,3.5,33.254588,28.819346,33.268823,7.157146
160512A,240.68,-33.09,2.05,116.75,116.75,5/12/16 4:45,0.731,-72.46,44.29,116.75,1.05,2.25,205,2.40E-06,0.008,1,2.15,1.50E-15,0.74,3.17,0.75,1.95,3.95,33.257598,48.858312,33.294463,27.202013
151021A,337.643,-33.197,0.0003,149,110.2,10/21/15 1:29,0,-21.6,127.4,131.328,1.14,2.46,200,7.66E-05,0.02,10,2.15,8.56E-14,0.35,3.17,0.54,1.86,3.86,33.268531,36.160235,33.291408,14.499567
160519B,138.12,-33.03,3.12,17.66,17.66,5/19/16 1:26,0.188,-1.28,16.38,17.66,1.05,2.25,205,3.17E-06,0.008,1,2.15,1.99E-15,0.74,3.17,0.75,1.95,3.95,33.289412,349.153916,33.256617,327.496088
131209A,136.5,-33.2,0.9,17.82,13.56,12/9/13 13:07,0.968,2.82,20.64,22.528,0.41,2.79,267,1.44E-05,0.01,1,2.15,2.41E-14,0.48,3.17,0.21,2.59,4.59,33.421159,330.870282,33.370618,309.221104
141031D,133.08,-33.68,15.62,0.16,0.16,10/31/14 23:57,0.923,-0.06,0.1,0.16,1.05,2.25,205,8.35E-08,0.008,1,0.5,1.29E-17,2.1,3.26,0.75,2.75,4.75,33.560086,203.349362,33.552395,181.778282
130614A,324.18,-33.89,1.22,10.22,4.9,6/14/13 23:56,0.064,-1,9.22,0,1.45,3.45,101,6.10E-06,0.01,1,2.15,2.71E-15,0.7,3.17,-0.45,1.55,3.55,33.636968,171.63281,33.667011,150.057671
130819A,124.72,-33.76,4.93,82.69,82.69,8/19/13 9:27,0.099,-1.54,81.15,82.69,1.05,2.25,205,8.68E-06,0.008,1,2.15,5.44E-15,0.74,3.17,0.75,1.95,3.95,33.694928,124.868435,33.761585,103.265494
130605A,134.536,-33.477,0.0172,15.66,12.6,6/5/13 23:41,0,-6.48,9.18,15.66,1.58,2.58,200,2.60E-06,0.015,0.15,2.15,4.07E-15,0.35,3.17,0.42,1.42,3.42,33.723513,354.380255,33.696487,332.719928
150214A,342.58,-34.17,10.47,0.19,0.19,2/14/15 7:01,0.65,-0.13,0.06,0.19,1.05,2.25,205,2.37E-07,0.008,1,0.5,3.66E-17,2.1,3.26,0.75,2.75,4.75,33.916695,203.110601,33.909293,181.540169
141110A,253.13,-34.09,3.8,36.61,36.61,11/10/14 5:33,0.557,-27.39,9.22,36.61,1.05,2.25,205,2.43E-06,0.008,1,2.15,1.52E-15,0.74,3.17,0.75,1.95,3.95,33.990605,230.325467,33.952188,208.747667
160123A,150.313,-33.775,0.0003,5.05,3.95,1/23/16 8:58,0,-2.05,3,5.05,1.51,2.51,200,3.50E-07,0.015,0.15,2.15,6.54E-16,0.35,3.17,0.49,1.49,3.49,34.042626,3.481038,34.026154,341.817843
140301A,69.557,-34.257,0.0003,36,31,3/1/14 15:24,0,-13.18,22.82,36,1.96,2.96,200,4.40E-07,0.015,0.15,2.15,3.11E-16,0.35,3.17,0.04,1.04,3.04,34.073639,148.899391,34.125791,127.313779
160310B,245.59,-34.03,4.45,23.62,23.62,3/10/16 6:59,0.55,0,23.62,23.62,1.05,2.25,205,2.54E-06,0.008,1,2.15,1.59E-15,0.74,3.17,0.75,1.95,3.95,34.088731,82.502576,34.152402,60.865612
161206A,0.94,-34.02,1,34,34,12/6/16 1:32,0.08,-9,25,34,0.85,2.11,309,3.92E-05,0.01,1,2.15,4.65E-14,0.57,3.17,0.89,2.15,4.15,34.114265,12.497917,34.108661,350.83341
160225B,150.19,-34.71,1,64.26,64.26,2/25/16 19:24,0.394,2.56,66.82,31.744,0.91,2.91,124.1,1.43E-05,0.01,1,2.15,1.27E-14,0.57,3.17,0.09,2.09,4.09,34.602619,173.889221,34.630148,152.316419
150915A,319.731,-34.854,0.0304,0,-,9/15/15 21:18,0,0,0,0,1,2,1000,1.00E-05,0.01,10,1.968,9.26E-15,0.4,3.36,1,2,4,34.703499,115.680761,34.772721,94.070799
150722A,218.278,-35.196,0.0003,74,67,7/22/15 9:57,0,-26,48,74,1.79,2.79,200,6.10E-07,0.015,0.15,2.15,5.94E-16,0.35,3.17,0.21,1.21,3.21,35.166514,238.79573,35.119896,217.215262
150711A,221.627,-35.456,0.0003,104.3,64.2,7/11/15 18:23,0,-34.1,70.2,32,1.16,3.16,117,2.80E-06,0.014,10,2.15,1.78E-15,0.6,3.17,-0.16,1.84,3.84,35.408455,126.576554,35.474444,104.975967
141121B,235.89,-35.6,6.96,3.84,3.84,11/21/14 9:56,0.482,-2.82,1.02,3.84,1.05,2.25,205,8.79E-07,0.008,1,2.15,5.50E-16,0.74,3.17,0.75,1.95,3.95,35.505725,136.563725,35.566654,114.971119
151029A,38.528,-35.386,0.0003,11.57,8.95,10/29/15 7:49,0,-1.1,10.47,11.57,0.49,2.49,33.9,3.90E-07,0.015,0.15,1.423,3.48E-17,3.51,4.12,0.51,2.51,4.51,35.505729,353.578937,35.477801,331.91592
150527B,10.8,-35.6,3.03,63.23,63.23,5/27/15 15:53,0.662,-15.36,47.87,63.23,1.05,2.25,205,5.04E-06,0.008,1,2.15,3.16E-15,0.74,3.17,0.75,1.95,3.95,35.703599,357.364261,35.67997,335.699681
130930A,190.661,-35.502,0.0304,10,-,9/30/13 19:09,0,0,10,0,1,2,200,1.00E-05,0.01,10,2.15,1.16E-14,0.35,3.17,1,2,4,35.765421,3.481048,35.748947,341.814811
150118B,240.24,-35.75,0.5,58.368,58.368,1/18/15 9:48,0.394,0,58.368,58.368,0.98,2.98,695,1.87E-04,0.02,10,2.15,9.22E-13,0.1,3.17,0.02,2.02,4.02,35.801888,85.744611,35.867104,64.108984
141128A,321.8,-35.76,8.75,0.28,0.28,11/28/14 23:05,0.838,-0.1,0.18,0.28,1.05,2.25,205,1.76E-07,0.008,1,0.5,2.72E-17,2.1,3.26,0.75,2.75,4.75,35.875923,17.534158,35.876465,355.866287
150726A,264.38,-36.2,3.17,46.85,46.85,7/26/15 21:02,0.541,-23.3,23.55,46.85,1.05,2.25,205,6.82E-06,0.008,1,2.15,4.27E-15,0.74,3.17,0.75,1.95,3.95,36.127934,114.614808,36.197339,93.004296
140110A,28.9,-36.26,0.5,9.48,9.48,1/10/14 6:18,0.936,-0.26,9.22,6.288,0.59,2.7,1400,7.10E-06,0.01,1,2.15,1.31E-13,0.09,3.17,0.3,2.41,4.41,36.273815,294.276697,36.204356,272.653021
140911A,128.39,-36.56,3.08,116.74,116.74,9/11/14 0:17,0.058,-0.26,116.48,116.74,1.05,2.25,205,6.78E-06,0.008,1,2.15,4.25E-15,0.74,3.17,0.75,1.95,3.95,36.526008,243.877302,36.474946,222.295509
141003A,321.77,-36.89,7,8.7,8.7,10/3/14 13:32,0.102,-0.51,8.19,8.7,1.05,2.25,205,1.85E-06,0.008,1,2.15,1.16E-15,0.74,3.17,0.75,1.95,3.95,36.671625,216.390015,36.648429,194.821943
140430B,146.38,-36.88,1.82,26.37,26.37,4/30/14 17:11,0.81,-12.8,13.57,26.37,1.05,2.25,205,9.18E-06,0.008,1,2.15,5.75E-15,0.74,3.17,0.75,1.95,3.95,36.807987,139.917662,36.866793,118.328886
130627A,184.415,-37.087,0.0003,49.52,35.84,6/27/13 8:55,0.934,-17.92,31.6,27.65,1.4,3.4,86,1.33E-06,0.01,1,2.15,5.21E-16,0.82,3.17,-0.4,1.6,3.6,37.085607,244.763789,37.033811,223.182124
150201A,11.833,-37.619,0.0003,57,22.272,2/1/15 13:46,0.653,0,57,38.913,1.02,2.7,131,6.63E-05,0.01,1,2.15,3.14E-14,0.85,3.17,0.3,1.98,3.98,37.388467,143.636644,37.444683,122.051331
150201C,11.833,-37.619,0.0014,25.6,25.6,2/1/15 14:09,0.978,-0.51,25.09,25.6,1.05,2.25,205,2.38E-06,0.008,1,2.15,1.49E-15,0.74,3.17,0.75,1.95,3.95,37.400565,137.865536,37.460694,116.275749
140721A,177.645,-37.735,3.6243,132.95,127.74,7/21/14 8:03,0.317,-27.39,105.56,91.137,1.05,1.98,129,4.95E-05,0.01,1,2.15,1.22E-14,1.52,3.17,1.02,1.95,3.95,37.691215,227.568257,37.655654,205.997586
150626A,111.337,-37.781,0.0003,192,144,6/26/15 2:12,0,-47.3,144.7,192,2.11,3.11,200,1.80E-06,0.015,0.15,2.15,1.00E-15,0.35,3.17,-0.11,0.89,2.89,37.829121,273.928216,37.76094,252.323314
140706A,49.294,-38.052,0.0003,60.9,48.3,7/6/14 19:33,0,-21.3,39.6,57,1.37,3.37,96,2.95E-06,0.01,1,2.15,1.32E-15,0.73,3.17,-0.37,1.63,3.63,38.094983,300.91447,38.027004,279.284117
150603A,73.96,-38.39,1.06,59.64,59.64,6/3/15 2:31,0.5,-8.7,50.94,59.64,1.05,2.25,205,2.15E-06,0.008,1,2.15,1.35E-15,0.74,3.17,0.75,1.95,3.95,38.318949,254.463087,38.259959,232.875618
150712A,20.25,-38.46,4.3,59.65,59.65,7/12/15 20:18,0.641,-11.52,48.13,59.65,1.05,2.25,205,2.45E-06,0.008,1,2.15,1.54E-15,0.74,3.17,0.75,1.95,3.95,38.326708,254.99765,38.267369,233.409754
140710C,2.8,-38.88,6.45,0.38,0.38,7/10/14 12:53,0.515,-0.06,0.32,0.38,1.05,2.25,205,3.83E-07,0.008,1,0.5,5.90E-17,2.1,3.26,0.75,2.75,4.75,38.981806,351.022329,38.951039,329.354225
150423B,220.39,-38.84,14.73,14.34,14.34,4/23/15 6:50,0.915,-2.56,11.78,14.34,1.05,2.25,205,1.26E-06,0.008,1,2.15,7.91E-16,0.74,3.17,0.75,1.95,3.95,39.085989,16.711337,39.085521,355.037232
150523B,202.27,-39.2,5.74,114.69,114.69,5/23/15 16:33,0.768,-15.87,98.82,114.69,1.05,2.25,205,5.73E-06,0.008,1,2.15,3.59E-15,0.74,3.17,0.75,1.95,3.95,39.09214,182.745223,39.109424,161.183123
151031A,83.196,-39.121,0.0004,6,5,10/31/15 5:50,0,0.3,6.3,6,2.41,3.41,200,3.20E-07,0.015,0.15,2.15,1.17E-16,0.35,3.17,-0.41,0.59,2.59,39.185867,66.331316,39.238903,44.676788
140619A,27.109,-39.259,0.0002,413.96,233.9,6/19/14 11:38,0,32.3,446.26,340,1.3,3.3,236,5.40E-05,0.02,10,2.15,6.65E-14,0.28,3.17,-0.3,1.7,3.7,39.294175,54.823386,39.337023,33.160804
150708A,308.56,-39.36,3.13,95.24,95.24,7/8/15 8:08,0.077,-7.17,88.07,95.24,1.05,2.25,205,1.71E-05,0.008,1,2.15,1.07E-14,0.74,3.17,0.75,1.95,3.95,39.488312,10.392303,39.480142,348.717779
161004B,112.151,-39.898,0.0003,32.47,15.9,10/4/16 23:07,0,-5.16,27.31,18.4,0.75,2.4,132,1.88E-05,0.01,1,2.15,7.34E-15,1.1,3.17,0.6,2.25,4.25,39.786775,220.834219,39.758527,199.270303
140916A,40.399,-39.686,0.0003,96.1,80.1,9/16/14 10:43,0,-6.6,89.5,96.1,2.15,3.15,200,1.70E-06,0.015,0.15,2.15,8.92E-16,0.35,3.17,-0.15,0.85,2.85,39.808977,353.983068,39.781498,332.312189
150522A,289.32,-39.67,3.81,43.77,43.77,5/22/15 10:23,0.241,-11.26,32.51,43.77,1.05,2.25,205,2.29E-06,0.008,1,2.15,1.43E-15,0.74,3.17,0.75,1.95,3.95,39.826369,3.613507,39.810049,341.939508
140611A,349.939,-40.111,0.0405,8.448,-,6/11/14 3:51,0.927,0,8.448,8.448,0.68,2.68,1460,1.50E-05,0.02,10,2.15,2.37E-13,0.05,3.17,0.32,2.32,4.32,39.876605,142.752754,39.933457,121.169686
160411A,349.357,-40.242,0.0004,0.68,0.36,4/11/16 1:28,0,0.06,0.74,0.4,1.43,2.43,1000,8.00E-08,0.015,0.15,0.5,1.85E-16,0.31,2.1,0.57,1.57,3.57,40.050217,237.226973,40.005042,215.654661
130609B,53.771,-40.174,0.0001,221.09,191.98,6/9/13 21:38,0,-7.84,213.25,28.669,0.66,2.6,491,6.02E-05,0.01,1,1.3,6.02E-14,0.51,4.34,0.4,2.34,4.34,40.225388,300.368729,40.157253,278.737889
130509A,240.85,-40.22,2.08,24.32,24.32,5/9/13 1:52,0.786,0.51,24.83,24.32,1.05,2.25,205,9.01E-06,0.008,1,2.15,5.64E-15,0.74,3.17,0.75,1.95,3.95,40.236653,95.842684,40.305324,74.213897
