WFRMS, V_rate
-2.00, 0.00421
-1.95, 0.00587
-1.90, 0.00740
-1.85, 0.00893
-1.80, 0.01020
-1.75, 0.01211
-1.70, 0.01581
-1.65, 0.02117
-1.60, 0.02690
-1.55, 0.03315
-1.50, 0.04131
-1.45, 0.05126
-1.40, 0.06439
-1.35, 0.08097
-1.30, 0.09908
-1.25, 0.12266
-1.20, 0.15161
-1.15, 0.18247
-1.10, 0.22200
-1.05, 0.26267
-1.00, 0.31278
-0.95, 0.36685
-0.90, 0.43532
-0.85, 0.51297
-0.80, 0.60159
-0.75, 0.69289
-0.70, 0.80382
-0.65, 0.92509
-0.60, 1.05209
-0.55, 1.18138
-0.50, 1.31986
-0.45, 1.46649
-0.40, 1.62308
-0.35, 1.77545
-0.30, 1.93089
-0.25, 2.10162
-0.20, 2.27223
-0.15, 2.45738
-0.10, 2.63793
-0.05, 2.82053
0.00, 3.00899
0.05, 3.21555
0.10, 3.41396
0.15, 3.61593
0.20, 3.81064
0.25, 4.01313
0.30, 4.19266
0.35, 4.36506
0.40, 4.51322
0.45, 4.64048
0.50, 4.73318
0.55, 4.79209
0.60, 4.82766
0.65, 4.84717
0.70, 4.85406
0.75, 4.85763
0.80, 4.85827
0.85, 4.85827
0.90, 4.85827
0.95, 4.85827
1.00, 4.85827
1.05, 4.85827
1.10, 4.85827
1.15, 4.85827
1.20, 4.85827
1.25, 4.85827
1.30, 4.85827
1.35, 4.85827
1.40, 4.85827
1.45, 4.85827
1.50, 4.85827
1.55, 4.85827
1.60, 4.85827
1.65, 4.85827
1.70, 4.85827
1.75, 4.85827
1.80, 4.85827
1.85, 4.85827
1.90, 4.85827
1.95, 4.85827
2.00, 4.85827
2.05, 4.85827
2.10, 4.85827
2.15, 4.85827
2.20, 4.85827
2.25, 4.85827
2.30, 4.85827
2.35, 4.85827
2.40, 4.85827
2.45, 4.85827
2.50, 4.85827
2.55, 4.85827
2.60, 4.85827
2.65, 4.85827
2.70, 4.85827
2.75, 4.85827
2.80, 4.85827
2.85, 4.85827
2.90, 4.85827
2.95, 4.85827
3.00, 4.85827
3.05, 100.00000
3.10, 100.00000
3.15, 100.00000
3.20, 100.00000
3.25, 100.00000
3.30, 100.00000
3.35, 100.00000
3.40, 100.00000
3.45, 100.00000
3.50, 100.00000
3.55, 100.00000
3.60, 100.00000
3.65, 100.00000
3.70, 100.00000
3.75, 100.00000
3.80, 100.00000
3.85, 100.00000
3.90, 100.00000
3.95, 100.00000
4.00, 100.00000
4.05, 100.00000
4.10, 100.00000
4.15, 100.00000
4.20, 100.00000
4.25, 100.00000
4.30, 100.00000
4.35, 100.00000
4.40, 100.00000
4.45, 100.00000
4.50, 100.00000
4.55, 100.00000
4.60, 100.00000
4.65, 100.00000
4.70, 100.00000
4.75, 100.00000
4.80, 100.00000
4.85, 100.00000
4.90, 100.00000
4.95, 100.00000
WFRMS, V_rate
-5.00, 0.00000
-4.95, 0.00000
-4.90, 0.00000
-4.85, 0.00000
-4.80, 0.00000
-4.75, 0.00000
-4.70, 0.00000
-4.65, 0.00000
-4.60, 0.00000
-4.55, 0.00000
-4.50, 0.00000
-4.45, 0.00000
-4.40, 0.00000
-4.35, 0.00000
-4.30, 0.00000
-4.25, 0.00000
-4.20, 0.00000
-4.15, 0.00000
-4.10, 0.00013
-4.05, 0.00013
-4.00, 0.00013
-3.95, 0.00013
